Go.	Ṛuḥ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #8325200 (Yagurten)
Most work isn't very pleasant.	Amur ameqran seg umahil maci d taḍfi.	CC-BY 2.0 (France) Attribution: tatoeba.org #7493058 (CK) & #8488226 (Amastan)
Most work isn't very pleasant.	Amur ameqran seg umahil maci d aneḍfi	CC-BY 2.0 (France) Attribution: tatoeba.org #7493058 (CK) & #8488227 (Amastan)
Mother bought a loaf of bread.	Yemma tesɣa-d taxbizt.	CC-BY 2.0 (France) Attribution: tatoeba.org #320676 (CM) & #1781611 (Amastan)
Mother bought a loaf of bread.	Mamma‑kʷ tesɣ‑d aferciq n weɣrum.	CC-BY 2.0 (France) Attribution: tatoeba.org #320676 (CM) & #2529230 (Uyezjen)
Mother has just gone shopping.	Imir-a kan ay tedda yemma ad d-teqḍu.	CC-BY 2.0 (France) Attribution: tatoeba.org #320665 (CM) & #2883163 (Amastan)
Music is a universal language.	Aẓawan d tutlayt tamaḍlant.	CC-BY 2.0 (France) Attribution: tatoeba.org #370583 (saeb) & #7551060 (LinaTamazight)
My boss made me work overtime.	Yenna-iyi-d ukerwa ad mahleɣ isragen n tmerniwt.	CC-BY 2.0 (France) Attribution: tatoeba.org #268313 (CK) & #8484755 (Amastan)
My brother became an engineer.	Gma yeqqel d ajenyuṛ.	CC-BY 2.0 (France) Attribution: tatoeba.org #250707 (CK) & #8326460 (LinaTamazight)
My brother is an immature boy.	Gma d aqcic ur neṛcid ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #602057 (CM) & #7742512 (Yagurten)
My brother skips school often.	Gma a ittabṭal bezzaf aɣerbaz.	CC-BY 2.0 (France) Attribution: tatoeba.org #1393356 (jesuisunmonstre) & #8849628 (Amastan)
My canary was killed by a cat.	Akanaṛi-inu yenɣa-iyi-t yiwen n wemcic.	CC-BY 2.0 (France) Attribution: tatoeba.org #250282 (CK) & #2861333 (Amastan)
My computer is my best friend.	Aselkim-inu d netta ay d amidi-inu amaway.	CC-BY 2.0 (France) Attribution: tatoeba.org #1494822 (Zaghawa) & #7192874 (Amastan)
My computer is my best friend.	Aselkim-inu d netta ay d ameddakel-inu amuyaf.	CC-BY 2.0 (France) Attribution: tatoeba.org #1494822 (Zaghawa) & #7557131 (Amastan)
My dream is to become a pilot.	Targit-inu nettat ad qqleɣ d imegli.	CC-BY 2.0 (France) Attribution: tatoeba.org #251930 (sacredceltic) & #8774843 (LinaTamazight)
My father bought me a bicycle.	Yesɣa-iyi-d baba tasnasɣalt.	CC-BY 2.0 (France) Attribution: tatoeba.org #570335 (CK) & #8024209 (Amastan)
My father bought me a bicycle.	Baba yefka-iyi-d tasnasɣalt.	CC-BY 2.0 (France) Attribution: tatoeba.org #570335 (CK) & #8024210 (Amastan)
My father can fly an airplane.	Baba‑kʷ ad ynejjem ad yessili ṭiyaret l ujenna.	CC-BY 2.0 (France) Attribution: tatoeba.org #251726 (CK) & #2965960 (Uyezjen)
My father can fly an airplane.	Baba‑kʷ ad ynejjem ad yesferfer ṭiyaret.	CC-BY 2.0 (France) Attribution: tatoeba.org #251726 (CK) & #2965961 (Uyezjen)
My father can fly an airplane.	Baba‑kʷ ad ynejjem ad yṣug taneffajt.	CC-BY 2.0 (France) Attribution: tatoeba.org #251726 (CK) & #2965963 (Uyezjen)
My father can fly an airplane.	Baba‑kʷ ad ynejjem ad yessili taneffajt l ujenna.	CC-BY 2.0 (France) Attribution: tatoeba.org #251726 (CK) & #2965964 (Uyezjen)
My father cut wood with a saw.	Baba yegzem asɣar s tmencaṛt.	CC-BY 2.0 (France) Attribution: tatoeba.org #319039 (CM) & #1779197 (Amastan)
My father died four years ago.	Kuẓ n yiseggasen aya seg wasmi ay yemmut baba.	CC-BY 2.0 (France) Attribution: tatoeba.org #251682 (CK) & #2086219 (Amastan)
My father died four years ago.	Ṛebɛa n yiseggasen aya seg wasmi ay yemmut baba.	CC-BY 2.0 (France) Attribution: tatoeba.org #251682 (CK) & #2086220 (Amastan)
My father died four years ago.	Baba‑kʷ ɣers ukkeẓ ilan sy yetwaffa.	CC-BY 2.0 (France) Attribution: tatoeba.org #251682 (CK) & #2966370 (Uyezjen)
My father died four years ago.	Llan ɣers ukkeẓ ilan i Baba‑kʷ sy yemmut.	CC-BY 2.0 (France) Attribution: tatoeba.org #251682 (CK) & #2966375 (Uyezjen)
My father does not like music.	Baba ur iḥemmel aẓawan.	CC-BY 2.0 (France) Attribution: tatoeba.org #1745346 (kate15) & #1770031 (Amastan)
My father is an office worker.	Baba‑w ixeddem lbiru.	CC-BY 2.0 (France) Attribution: tatoeba.org #251666 (CK) & #2966491 (Uyezjen)
My father likes strong coffee.	Baba iḥemmel taɣlust ijehden.	CC-BY 2.0 (France) Attribution: tatoeba.org #319318 (CK) & #1695888 (Amastan)
My father told me where to go.	Inna-iyi-d baba saniwer a ṛuḥeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #319189 (CK) & #9291876 (Yagurten)
My father told me where to go.	Imla-iyi-d baba saniwer a ṛuḥeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #319189 (CK) & #9291878 (Yagurten)
My father was lost in thought.	Baba‑kʷ yejmeḍ mɛa iman‑s.	CC-BY 2.0 (France) Attribution: tatoeba.org #251729 (CK) & #2965949 (Uyezjen)
My father was lost in thought.	Baba‑kʷ tessejmeḍ‑t twenjimt‑s.	CC-BY 2.0 (France) Attribution: tatoeba.org #251729 (CK) & #2965950 (Uyezjen)
My flight will arrive at 2:30.	Asafag-iw ad d-yaweḍ ɣef zzuǧ d uzgen.	CC-BY 2.0 (France) Attribution: tatoeba.org #6438676 (CK) & #7667297 (Yagurten)
My hobby is collecting stamps.	Aramsu-inu netta d talkensit n yiɣeḍmen.	CC-BY 2.0 (France) Attribution: tatoeba.org #251147 (CK) & #1755230 (Amastan)
My house is near where I work.	Axxam-inu yeqreb ɣer wanda ay ttmahaleɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #6260313 (CK) & #8507096 (Amastan)
My mom told me the same thing.	Ula d yemma tenna-iyi-d aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2819542 (Hybrid) & #2826988 (Amastan)
My mother never gets up early.	Yemma werjin tettaki-d zik.	CC-BY 2.0 (France) Attribution: tatoeba.org #320650 (CK) & #1750680 (Amastan)
My mother never gets up early.	Mamma‑kʷ ɛemṛi mi d‑teččer bekri.	CC-BY 2.0 (France) Attribution: tatoeba.org #320650 (CK) & #2529089 (Uyezjen)
My mother took me to the park.	Tuwey-iyi yemma s afrag.	CC-BY 2.0 (France) Attribution: tatoeba.org #320781 (CK) & #1689923 (Amastan)
My parents fight all the time.	Imawlan-iw zgan ttnaɣen.	CC-BY 2.0 (France) Attribution: tatoeba.org #6260295 (CK) & #7711875 (Yagurten)
My sister is shorter than you.	Weltma wezzilet fell-am.	CC-BY 2.0 (France) Attribution: tatoeba.org #250962 (CK) & #1628805 (Amastan)
My sister is very intelligent.	Weltma teḥṛec aṭas.	CC-BY 2.0 (France) Attribution: tatoeba.org #530066 (wma) & #1620067 (Amastan)
My son is my biggest headache.	Memmi d netta ay d anezgum-inu ameqran.	CC-BY 2.0 (France) Attribution: tatoeba.org #274404 (CK) & #2883337 (Amastan)
My sweater shrank in the wash.	Atriku-nni-inu yeqqel mi yurad.	CC-BY 2.0 (France) Attribution: tatoeba.org #51365 (CM) & #1786909 (Amastan)
My uncle works in this office.	Ɛemmi ixeddem deg tnarit-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #250248 (CK) & #1781028 (Amastan)
My wife likes apple pie a lot.	Tameṭṭut-inu tḥemmel aṭas tasektit n uḍeffu.	CC-BY 2.0 (France) Attribution: tatoeba.org #908915 (CK) & #2519186 (Amastan)
My younger brother watches TV.	Gma amecṭuḥ ha-t-an yettwali tiliẓri.	CC-BY 2.0 (France) Attribution: tatoeba.org #1123646 (CM) & #9198270 (Yagurten)
Never forget to lock the door.	Werǧin ad tettuḍ ad tsekʷṛeḍ tawwurt.	CC-BY 2.0 (France) Attribution: tatoeba.org #561216 (kebukebu) & #7981073 (Yagurten)
No one asked for your opinion.	Ula d yiwen ur k-yettir ɣef tannayt-nnek.	CC-BY 2.0 (France) Attribution: tatoeba.org #2990259 (Hybrid) & #7348414 (Amastan)
No one asked for your opinion.	Ula d yiwen ur kem-yettir ɣef tannayt-nnem.	CC-BY 2.0 (France) Attribution: tatoeba.org #2990259 (Hybrid) & #7348415 (Amastan)
No one asked for your opinion.	Ula d yiwen ur ken-yettir ɣef tannayt-nwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #2990259 (Hybrid) & #7348417 (Amastan)
No one asked for your opinion.	Ula d yiwen ur kent-yettir ɣef tannayt-nwent.	CC-BY 2.0 (France) Attribution: tatoeba.org #2990259 (Hybrid) & #7348418 (Amastan)
No one can escape growing old.	Ula d yiwen ur yezmir ad yerwel i temɣer.	CC-BY 2.0 (France) Attribution: tatoeba.org #2435887 (kuma) & #2526283 (Amastan)
No one finds this interesting.	Ula d yiwen ur yettwali aya d asneknay.	CC-BY 2.0 (France) Attribution: tatoeba.org #3754425 (karloelkebekio) & #5809085 (Amastan)
No one is calling you a thief.	Ula d yiwen ur d-yenni tukreḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #5395133 (Hybrid) & #7759811 (Yagurten)
No one knew Tom was an ex-con.	Ula d yiwen ur yelli yeẓra dakken Tom yella yesεedda-d ya kan takurmut.	CC-BY 2.0 (France) Attribution: tatoeba.org #7520444 (CK) & #7742505 (Yagurten)
No one lives in that building.	Ula d yiwen ur yezdiɣ deg uzadaɣ-inna.	CC-BY 2.0 (France) Attribution: tatoeba.org #397848 (CK) & #1840829 (Amastan)
Nobody feels optimistic today.	Ula d yiwen ur yelli d imsirem ass-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #1193323 (CK) & #7284149 (Amastan)
Nobody feels optimistic today.	Ass-a, ula d yiwen ur yelli d imsirem.	CC-BY 2.0 (France) Attribution: tatoeba.org #1193323 (CK) & #7284150 (Amastan)
Nobody knows you're my cousin.	Ula d yiwen ur yeẓri kečč d memmi-s n ɛemmi.	CC-BY 2.0 (France) Attribution: tatoeba.org #6838819 (CK) & #9125448 (Amastan)
Nobody knows you're my cousin.	Ula d yiwen ur yeẓri kemm d yelli-s n ɛemmi.	CC-BY 2.0 (France) Attribution: tatoeba.org #6838819 (CK) & #9125451 (Amastan)
Nobody knows you're my cousin.	Ula d yiwen ur yeẓri kečč d memmi-s n ɛemmti.	CC-BY 2.0 (France) Attribution: tatoeba.org #6838819 (CK) & #9125452 (Amastan)
Nobody knows you're my cousin.	Ula d yiwen ur yeẓri kemm d yelli-s n ɛemmti.	CC-BY 2.0 (France) Attribution: tatoeba.org #6838819 (CK) & #9125453 (Amastan)
Nobody knows you're my cousin.	Ula d yiwen ur yeẓri kečč d memmi-s n xali.	CC-BY 2.0 (France) Attribution: tatoeba.org #6838819 (CK) & #9125455 (Amastan)
Nobody knows you're my cousin.	Ula d yiwen ur yeẓri kemm d yelli-s n xali.	CC-BY 2.0 (France) Attribution: tatoeba.org #6838819 (CK) & #9125456 (Amastan)
Nobody knows you're my cousin.	Ula d yiwen ur yeẓri kečč d memmi-s n xalti.	CC-BY 2.0 (France) Attribution: tatoeba.org #6838819 (CK) & #9125457 (Amastan)
Nobody knows you're my cousin.	Ula d yiwen ur yeẓri kemm d yelli-s n xalti.	CC-BY 2.0 (France) Attribution: tatoeba.org #6838819 (CK) & #9125458 (Amastan)
Nobody likes to work with Tom.	Ula d yiwen ur iḥemmel ad imahel d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #4134476 (CK) & #8496830 (Amastan)
Nobody likes to work with Tom.	Ula d yiwen ur iri ad imahel d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #4134476 (CK) & #8496832 (Amastan)
Nobody likes to work with Tom.	Yiwen ur iḥemmel ad imahel d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #4134476 (CK) & #8496834 (Amastan)
Nobody likes to work with Tom.	Yiwen ur iri ad imahel d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #4134476 (CK) & #8496836 (Amastan)
Nobody saw Tom steal the book.	Ula d yiwen ur iwala Tom mi yuker adlis-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #1027355 (CK) & #1760452 (Amastan)
Nobody wants to work with you.	Ula d yiwen ur yebɣi ad imahel yid-k.	CC-BY 2.0 (France) Attribution: tatoeba.org #4063779 (CK) & #8494203 (Amastan)
Nobody wants to work with you.	Ula d yiwen ur yebɣi ad imahel yid-m.	CC-BY 2.0 (France) Attribution: tatoeba.org #4063779 (CK) & #8494204 (Amastan)
Nobody wants to work with you.	Ula d yiwen ur yebɣi ad imahel yid-wen.	CC-BY 2.0 (France) Attribution: tatoeba.org #4063779 (CK) & #8494205 (Amastan)
Nobody wants to work with you.	Ula d yiwen ur yebɣi ad imahel yid-went.	CC-BY 2.0 (France) Attribution: tatoeba.org #4063779 (CK) & #8494206 (Amastan)
Nobody wants to work with you.	Ula d yiwen ur yeɣs ad imahel yid-k.	CC-BY 2.0 (France) Attribution: tatoeba.org #4063779 (CK) & #8494207 (Amastan)
Nobody wants to work with you.	Ula d yiwen ur yeɣs ad imahel yid-m.	CC-BY 2.0 (France) Attribution: tatoeba.org #4063779 (CK) & #8494208 (Amastan)
Nobody wants to work with you.	Ula d yiwen ur yeɣs ad imahel yid-wen.	CC-BY 2.0 (France) Attribution: tatoeba.org #4063779 (CK) & #8494209 (Amastan)
Nobody wants to work with you.	Ula d yiwen ur yeɣs ad imahel yid-went.	CC-BY 2.0 (France) Attribution: tatoeba.org #4063779 (CK) & #8494210 (Amastan)
None of the windows were open.	Ur telli ula d yiwet n tzewwut terẓem.	CC-BY 2.0 (France) Attribution: tatoeba.org #2542291 (CK) & #8036556 (Amastan)
Now all Tom needs is a hammer.	Tura, Tom yeḥwaǧ kan tafḍist.	CC-BY 2.0 (France) Attribution: tatoeba.org #8594958 (CK) & #9417145 (Yagurten)
One of the answers is correct.	Yiwet seg tririyin-nni tṣeḥḥa.	CC-BY 2.0 (France) Attribution: tatoeba.org #5049004 (AlanF_US) & #1777385 (Amastan)
One of them is probably lying.	Ulac ccekk dakken yiwen seg-sen la yeskerkis.	CC-BY 2.0 (France) Attribution: tatoeba.org #3634208 (Hybrid) & #7363120 (Amastan)
One of them is probably lying.	Ulac ccekk dakken yiwet seg-sent la yeskerkis.	CC-BY 2.0 (France) Attribution: tatoeba.org #3634208 (Hybrid) & #7363121 (Amastan)
One should keep one's promise.	A win yufan, amdan ad yeḍḍef deg wawal-nnes.	CC-BY 2.0 (France) Attribution: tatoeba.org #270084 (CK) & #2850844 (Amastan)
Oranges are rich in vitamin C.	Ccina teccuṛ d taviṭamint C.	CC-BY 2.0 (France) Attribution: tatoeba.org #64783 (CK) & #1814486 (Amastan)
Oslo is the capital of Norway.	Oslo d tamanaɣt n Nuṛwij.	CC-BY 2.0 (France) Attribution: tatoeba.org #1778767 (belgavox) & #7584218 (LinaTamazight)
Our bus collided with a truck.	Iwet usakal-nneɣ yiwen n ukamyun.	CC-BY 2.0 (France) Attribution: tatoeba.org #247408 (CK) & #7196079 (Amastan)
Our bus collided with a truck.	Yudef usakal-nneɣ deg yiwen n ukamyun.	CC-BY 2.0 (France) Attribution: tatoeba.org #247408 (CK) & #7196080 (Amastan)
Our little girl is growing up.	Yelli-tneɣ attan la tettimɣur.	CC-BY 2.0 (France) Attribution: tatoeba.org #3419467 (Hybrid) & #7363778 (Amastan)
Our little girl is growing up.	Yelli-tneɣ attan la tgemmu.	CC-BY 2.0 (France) Attribution: tatoeba.org #3419467 (Hybrid) & #7363779 (Amastan)
Our school is in this village.	Aɣerbaz-nneɣ atan deg yiɣrem-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #1550742 (Zaghawa) & #7012671 (Amastan)
Our school is in this village.	Aɣerbaz-nneɣ atan deg taddart-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #1550742 (Zaghawa) & #7012721 (Amastan)
Our security cameras are fake.	Tikamriwin-nneɣ n tɣellist n tkellax.	CC-BY 2.0 (France) Attribution: tatoeba.org #954229 (CK) & #8460661 (Amastan)
Our security cameras are fake.	Tikamriwin-nteɣ n tɣellist n tkellax.	CC-BY 2.0 (France) Attribution: tatoeba.org #954229 (CK) & #8460662 (Amastan)
Our security cameras are fake.	Tikamriwin-nneɣ n tɣellist maci n tidet.	CC-BY 2.0 (France) Attribution: tatoeba.org #954229 (CK) & #8460663 (Amastan)
Our security cameras are fake.	Tikamriwin-nteɣ n tɣellist maci n tidet.	CC-BY 2.0 (France) Attribution: tatoeba.org #954229 (CK) & #8460664 (Amastan)
Our son was killed in the war.	Memmi-tneɣ yemmut deg wemgaru-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #741903 (Eldad) & #1736581 (Amastan)
Our team lost the first match.	Texṣer teɣlamt-nneɣ timlilit tamezwarut.	CC-BY 2.0 (France) Attribution: tatoeba.org #2260081 (FeuDRenais) & #7033727 (Amastan)
Our team lost the first match.	Texṣer teɣlamt-nteɣ timlilit tamezwarut.	CC-BY 2.0 (France) Attribution: tatoeba.org #2260081 (FeuDRenais) & #7033728 (Amastan)
Our world runs on electricity.	Amaḍal-nneɣ itteddu s trisiti.	CC-BY 2.0 (France) Attribution: tatoeba.org #680799 (Source_VOA) & #1764059 (Amastan)
Pay attention to what he says.	Err ddehn-nnek i wayen ay la d-yettini.	CC-BY 2.0 (France) Attribution: tatoeba.org #286059 (CK) & #1627873 (Amastan)
Peel the potatoes and carrots.	Sseqcer lbaṭaṭa-nni ed tfesnax.	CC-BY 2.0 (France) Attribution: tatoeba.org #524054 (wma) & #1627690 (Amastan)
Perhaps Tom wanted to do that.	Ahat yella yebɣa Tom ad yeg aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #6250839 (CK) & #7587032 (Amastan)
Perhaps Tom wanted to do that.	Ahat yella yeɣs Tom ad yeg aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #6250839 (CK) & #7587033 (Amastan)
Perhaps you'd better call Tom.	Ahat yif-it ma teɣrid-as i Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #6824011 (CK) & #8152286 (Amastan)
Perhaps you'd better call Tom.	Ahat yif-it ma teɣram-as i Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #6824011 (CK) & #8152287 (Amastan)
Perhaps you'd better call Tom.	Ahat yif-it ma teɣramt-as i Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #6824011 (CK) & #8152288 (Amastan)
Please change this to dollars.	Ttxil-k beddel aya ɣer yidulaṛen.	CC-BY 2.0 (France) Attribution: tatoeba.org #54988 (CK) & #7587105 (LinaTamazight)
Please come whenever you like.	Ttxil-k ma ur d-tusid melmi ay ak-yehwa.	CC-BY 2.0 (France) Attribution: tatoeba.org #66199 (CK) & #3285000 (Amastan)
Please come whenever you like.	Ttxil-m ma ur d-tusid melmi ay am-yehwa.	CC-BY 2.0 (France) Attribution: tatoeba.org #66199 (CK) & #3285001 (Amastan)
Please don't feed the animals.	Ttxil-wen, ur asen-ttakfet i yiɣersiwen ad ccen.	CC-BY 2.0 (France) Attribution: tatoeba.org #2098938 (gleki) & #2535492 (Amastan)
Please don't open that window.	Ttxil-k, ur reẓẓem ara tazewwut-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #6351138 (CK) & #8036652 (Amastan)
Please don't open that window.	Ttxil-k, ur reẓẓem ara tazewwut-inna.	CC-BY 2.0 (France) Attribution: tatoeba.org #6351138 (CK) & #8036653 (Amastan)
Please don't open that window.	Ttxil-m, ur reẓẓem ara tazewwut-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #6351138 (CK) & #8036654 (Amastan)
Please don't open that window.	Ttxil-m, ur reẓẓem ara tazewwut-inna.	CC-BY 2.0 (France) Attribution: tatoeba.org #6351138 (CK) & #8036655 (Amastan)
Please don't open that window.	Ttxil-wen, ur reẓẓem ara tazewwut-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #6351138 (CK) & #8036656 (Amastan)
Please don't open that window.	Ttxil-wen, ur reẓẓem ara tazewwut-inna.	CC-BY 2.0 (France) Attribution: tatoeba.org #6351138 (CK) & #8036657 (Amastan)
Please don't open this window.	Ttxil-k, ur reẓẓem ara tazewwut-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #5096591 (CK) & #8745011 (Amastan)
Please don't open this window.	Ttxil-m, ur reẓẓem ara tazewwut-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #5096591 (CK) & #8745012 (Amastan)
Please don't open this window.	Ttxil-wen, ur reẓẓmet ara tazewwut-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #5096591 (CK) & #8745013 (Amastan)
Please don't open this window.	Ttxil-wen, ur reẓẓmem ara tazewwut-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #5096591 (CK) & #8745015 (Amastan)
Please don't open this window.	Ttxil-went, ur reẓẓmemt ara tazewwut-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #5096591 (CK) & #8745017 (Amastan)
Please feed the dog every day.	Ma ulac aɣilif, ttakf-as i uydi-nni ad yečč yal ass.	CC-BY 2.0 (France) Attribution: tatoeba.org #48285 (CK) & #7566955 (Amastan)
Please feed the dog every day.	Ma ulac aɣilif, ttakfet-as i uydi-nni ad yečč yal ass.	CC-BY 2.0 (France) Attribution: tatoeba.org #48285 (CK) & #7566956 (Amastan)
Please feed the dog every day.	Ma ulac aɣilif, ttakfemt-as i uydi-nni ad yečč yal ass.	CC-BY 2.0 (France) Attribution: tatoeba.org #48285 (CK) & #7566957 (Amastan)
Please feed the dog every day.	Ma ulac aɣilif, ttakf-as i teydit-nni ad tečč yal ass.	CC-BY 2.0 (France) Attribution: tatoeba.org #48285 (CK) & #7566960 (Amastan)
Please feed the dog every day.	Ma ulac aɣilif, ttakfet-as i teydit-nni ad tečč yal ass.	CC-BY 2.0 (France) Attribution: tatoeba.org #48285 (CK) & #7566961 (Amastan)
Please feed the dog every day.	Ma ulac aɣilif, ttakfemt-as i teydit-nni ad tečč yal ass.	CC-BY 2.0 (France) Attribution: tatoeba.org #48285 (CK) & #7566962 (Amastan)
Please help me open this door.	Alel-iyi ad reẓmeɣ tawwurt-a, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #7285364 (CK) & #7705223 (Amastan)
Please help me open this door.	Allet-iyi ad reẓmeɣ tawwurt-a, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #7285364 (CK) & #7705224 (Amastan)
Please help me open this door.	Allemt-iyi ad reẓmeɣ tawwurt-a, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #7285364 (CK) & #7705225 (Amastan)
Please help me open this door.	Ttxil-k, alel-iyi ad reẓmeɣ tawwurt-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #7285364 (CK) & #7705226 (Amastan)
Please help me open this door.	Ttxil-m, alel-iyi ad reẓmeɣ tawwurt-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #7285364 (CK) & #7705227 (Amastan)
Please help me open this door.	Ttxil-wen, alel-iyi ad reẓmeɣ tawwurt-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #7285364 (CK) & #7705228 (Amastan)
Please help me open this door.	Ttxil-went, alel-iyi ad reẓmeɣ tawwurt-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #7285364 (CK) & #7705229 (Amastan)
Please help me take this down.	Ttxil-k, ɛawen-iyi ad ssidreɣ aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #987493 (CK) & #2518860 (Amastan)
Please help me take this down.	Ttxil-m, ɛawen-iyi ad ssidreɣ aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #987493 (CK) & #2518861 (Amastan)
Please help me take this down.	Ttxil-wen, ɛawnet-iyi ad ssidreɣ aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #987493 (CK) & #2518862 (Amastan)
Please help me take this down.	Ttxil-went, ɛawnemt-iyi ad ssidreɣ aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #987493 (CK) & #2518863 (Amastan)
Please leave the windows open.	Eǧǧ tizewwa reẓment, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #6221559 (CK) & #7206831 (Amastan)
Please leave the windows open.	Ǧǧet tizewwa reẓment, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #6221559 (CK) & #8036487 (Amastan)
Please leave the windows open.	Ǧǧemt tizewwa reẓment, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #6221559 (CK) & #8036488 (Amastan)
Please put these glasses away.	Jmeɛ tismaqqalin-a, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #55298 (CK) & #8025225 (Amastan)
Please refer to paragraph ten.	Ẓer taṣeddart tis mraw.	CC-BY 2.0 (France) Attribution: tatoeba.org #73441 (CK) & #1685077 (Amastan)
Please show me another camera.	Ttxil-k, ssken-iyi-d takamra niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460643 (Amastan)
Please show me another camera.	Ttxil-m, ssken-iyi-d takamra niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460644 (Amastan)
Please show me another camera.	Ttxil-wen, sseknet-iyi-d takamra niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460645 (Amastan)
Please show me another camera.	Ttxil-wen, sseknem-iyi-d takamra niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460646 (Amastan)
Please show me another camera.	Ttxil-went, sseknemt-iyi-d takamra niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460647 (Amastan)
Please show me another camera.	Ttxil-k, ssken-iyi-d tasewlaft niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460648 (Amastan)
Please show me another camera.	Ttxil-m, ssken-iyi-d tasewlaft niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460649 (Amastan)
Please show me another camera.	Ttxil-wen, sseknet-iyi-d tasewlaft niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460650 (Amastan)
Please show me another camera.	Ttxil-wen, sseknem-iyi-d tasewlaft niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460651 (Amastan)
Please show me another camera.	Ttxil-went, sseknemt-iyi-d tasewlaft niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460652 (Amastan)
Please show me another camera.	Ssken-iyi-d takamra niḍen, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460653 (Amastan)
Please show me another camera.	Sseknet-iyi-d takamra niḍen, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460654 (Amastan)
Please show me another camera.	Sseknem-iyi-d takamra niḍen, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460655 (Amastan)
Please show me another camera.	Sseknemt-iyi-d takamra niḍen, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460656 (Amastan)
Please show me another camera.	Ssken-iyi-d tasewlaft niḍen, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460657 (Amastan)
Please show me another camera.	Sseknet-iyi-d tasewlaft niḍen, ma ulac aɣilif.	CC-BY 2.0 (France) Attribution: tatoeba.org #910875 (CK) & #8460658 (Amastan)
